date,Season,Round,Home,Away,res,pH,pD,pA,delta,oH,oD,oA,cH,cD,cA,pick,best_ev,pl,clv,clv_excess,vig_bar
2024-06-25,2024,16,Shenzhen Xinpengcheng,Zhejiang Professional,0,0.2355220288348484,0.2726527284567824,0.4918252427083693,0.8812897720762952,3.57,3.72,1.88,3.12,3.53,2.11,draw,0.014268149859230528,-1.0,0.014143388386759825,0.015325951777526164,0.0201067809641845
2024-06-25,2024,16,Wuhan Three Towns,Shanghai Port,2,0.2324857089791387,0.28607198704433745,0.4814423039765238,0.8812897720762952,6.63,5.02,1.35,7.68,5.57,1.34,home,0.5413802505316896,-1.0,-0.014975465785718872,-0.018482853097910194,0.012551942267029794
2024-06-25,2024,16,Nantong Zhiyun,Tianjin Jinmen Tiger,1,0.27078648657506055,0.4067259961529847,0.3224875172719547,0.8812897720762952,2.95,3.3,2.3,3.79,3.24,2.09,draw,0.34219578730484956,2.3,0.012256864694710545,0.013439428085476884,0.0216118044819828
2024-06-26,2024,16,Shanghai Shenhua,Meizhou Hakka,0,0.6613368952077553,0.2734159718727699,0.06524713291947487,0.8828757596054295,1.19,6.37,10.46,1.13,8.4,17.91,draw,0.7416597408295442,-1.0,-0.03131214496146527,-0.03012958157069893,0.013347495543579236
2024-06-26,2024,16,Changchun Yatai,Shandong Taishan,1,0.14411910553540436,0.28889185573689946,0.5669890387276962,0.8828757596054295,4.1,3.85,1.72,3.65,3.69,1.97,draw,0.11223364458706286,2.85,0.01807931023419182,0.019261873624958157,0.020356709721589723
2024-06-26,2024,16,Qingdao Hainiu,Chengdu Rongcheng,2,0.16037304386934478,0.30220824205365016,0.5374187140770051,0.8828757596054295,5.01,4.01,1.57,5.64,4.15,1.57,draw,0.2118550506351371,-1.0,-0.0012894366608468266,-0.0001068732700804883,0.019731141614454304
2024-06-26,2024,16,Beijing Guoan,Cangzhou,0,0.7003886127341371,0.210078533563058,0.08953285370280496,0.8828757596054295,1.25,5.67,8.39,1.27,5.88,9.2,draw,0.19114528530253883,-1.0,-0.0014700576129161314,-0.00028749422214979304,0.015383026608018144
2024-06-29,2024,17,Wuhan Three Towns,Nantong Zhiyun,2,0.5838594143913769,0.30721944375577737,0.10892114185284585,0.8896861618340287,1.61,4.06,5.03,1.62,4.06,5.26,draw,0.24731094164845602,-1.0,0.002746355315427579,0.003928918706193918,0.015299648067667345
2024-06-29,2024,17,Tianjin Jinmen Tiger,Shenzhen Xinpengcheng,0,0.5440186284072064,0.285483145350957,0.1704982262418367,0.8896861618340287,1.88,3.67,3.83,2.32,3.26,3.2,draw,0.047723143438012094,-1.0,0.03633125268896753,0.03751381607973387,0.016748123953993468
2024-06-29,2024,17,Shanghai Port,Zhejiang Professional,0,0.7724379108803421,0.1470408875866879,0.08052120153296999,0.8896861618340287,1.29,5.94,7.54,1.33,5.63,7.52,home,-0.003555094964358685,0.29000000000000004,-0.012660628698253351,-0.016168016010444673,0.05486724578044956
2024-06-30,2024,17,Beijing Guoan,Shandong Taishan,0,0.2904304329971906,0.3723152380386961,0.3372543289641132,0.8781881748311936,2.42,3.47,2.67,2.95,3.35,2.43,draw,0.29193387599427556,-1.0,0.016715783460321765,0.017898346851088102,0.020339953156186297
2024-06-30,2024,17,Chengdu Rongcheng,Cangzhou,0,0.8114508356025935,0.14543974395741502,0.043109420439991664,0.8781881748311936,1.19,6.61,9.71,1.1,10.38,21.58,home,-0.03437350563291386,0.18999999999999995,0.0966398486992226,0.09313246138703127,0.07263151780312282
2024-06-30,2024,17,Changchun Yatai,Qingdao Hainiu,0,0.4596378191504507,0.2933719520454573,0.24699022880409202,0.8781881748311936,2.09,3.36,3.31,1.86,3.62,4.17,draw,-0.014270241127263494,-1.0,-0.013864132616937086,-0.012681569226170747,0.0215865041965617
2024-06-30,2024,17,Qingdao West Coast,Shanghai Shenhua,2,0.07749381995987742,0.2330960927710472,0.6894100872690753,0.8781881748311936,8.27,5.57,1.27,9.94,5.71,1.22,draw,0.298345236734733,-1.0,-0.005156460668347129,-0.0039738972775807905,0.014498888126420247
2024-06-30,2024,17,Meizhou Hakka,Henan Songshan Longmen,2,0.33265886145106943,0.3502697655257493,0.3170713730231814,0.8781881748311936,2.92,3.32,2.31,3.01,3.4,2.36,draw,0.16289562154548753,-1.0,0.0003110821379016526,0.001493645528667991,0.02142316278653238
2024-07-05,2024,18,Henan Songshan Longmen,Shanghai Port,2,0.11617240796858688,0.22035909205145898,0.6634684999799542,0.8651351057874298,6.61,5.09,1.35,5.38,4.31,1.49,draw,0.12162777854192619,-1.0,0.03255818336084049,0.03374074675160683,0.01597178429704718
2024-07-06,2024,18,Tianjin Jinmen Tiger,Changchun Yatai,1,0.5277969512269229,0.2820729093836458,0.1901301393894314,0.8610224961859627,1.76,3.77,4.05,1.94,3.64,3.8,draw,0.06341486837634469,2.77,0.015287009213761,0.016469572604527336,0.019727269859200574
2024-07-06,2024,18,Shanghai Shenhua,Shandong Taishan,0,0.36636610683141924,0.4399025390676531,0.19373135410092773,0.8610224961859627,1.64,3.99,4.44,1.68,3.83,5.04,draw,0.7552111308799359,-1.0,0.01668132196030722,0.01786388535107356,0.019763684054146934
2024-07-06,2024,18,Cangzhou,Shenzhen Xinpengcheng,1,0.39694849288620604,0.2978446078443778,0.30520689926941624,0.8610224961859627,2.9,3.46,2.26,2.88,3.21,2.57,home,0.15115062936999757,-1.0,0.010989532869967344,0.007482145557776022,0.024451965498592586
2024-07-07,2024,18,Qingdao Hainiu,Qingdao West Coast,0,0.5852271084304664,0.24790207267503273,0.16687081889450084,0.8851988443194059,1.74,3.84,4.07,1.97,3.67,3.69,home,0.018295168669011597,0.74,-0.048795120096185585,-0.05230250740837691,0.04297973494727317
2024-07-07,2024,18,Zhejiang Professional,Meizhou Hakka,0,0.7064490904260105,0.19685801704366288,0.09669289253032669,0.8851988443194059,1.38,4.95,6.11,1.25,6.72,8.94,home,-0.025100255212105682,0.3799999999999999,0.08963518561563733,0.086127798303446,0.0600300248053848
2024-07-07,2024,18,Nantong Zhiyun,Chengdu Rongcheng,2,0.1427726035828685,0.34816846187786643,0.5090589345392651,0.8851988443194059,5.35,4.15,1.52,8.23,4.42,1.41,draw,0.44489911679314575,-1.0,-0.007878348222410708,-0.0066957848316443695,0.019035766453958006
2024-07-07,2024,18,Beijing Guoan,Wuhan Three Towns,2,0.39542497569399154,0.345251781221128,0.2593232430848804,0.8851988443194059,1.68,3.87,4.31,1.77,3.69,4.57,draw,0.3361243933257654,-1.0,0.018913873321730584,0.02009643671249692,0.020386750156563306
2024-07-12,2024,19,Cangzhou,Wuhan Three Towns,1,0.1610236473401033,0.29027662940004584,0.5486997232598508,0.870403146085489,3.71,3.76,1.83,3.17,3.68,2.16,draw,0.09144012654417222,2.76,0.012946186879099264,0.014128750269865603,0.02014377033845484
2024-07-12,2024,19,Shanghai Port,Beijing Guoan,0,0.7017571659859589,0.20307110930364836,0.0951717247103927,0.870403146085489,1.26,5.78,7.63,1.3,6.09,7.81,draw,0.17375101177508756,-1.0,-0.002914687408190453,-0.0017321240174241145,0.015401934444274139
2024-07-12,2024,19,Chengdu Rongcheng,Tianjin Jinmen Tiger,0,0.6189390553661744,0.2694259619314453,0.11163498270238027,0.870403146085489,1.45,4.44,5.72,1.29,5.72,8.61,draw,0.19625127097561723,-1.0,-0.042708445905339426,-0.041525882514573086,0.018540749237904382
2024-07-13,2024,19,Qingdao West Coast,Zhejiang Professional,0,0.13485446806223036,0.18981418653675575,0.6753313454010139,0.8783484517381273,5.31,4.79,1.45,3.59,3.9,1.93,away,-0.0207695491685298,-1.0,-0.14259420791794453,-0.14026938399651953,0.055050295655118625
